epoch,train_loss,step,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_loss
0,0.31293514370918274,9,,,,,,
0,0.1788538545370102,19,,,,,,
0,0.08379953354597092,29,,,,,,
0,0.2050546109676361,39,,,,,,
0,0.16886481642723083,49,,,,,,
0,1.6995004415512085,59,,,,,,
0,0.3682158887386322,69,,,,,,
0,0.2067360132932663,79,,,,,,
0,0.16513128578662872,89,,,,,,
0,0.14571450650691986,99,,,,,,
0,0.14041858911514282,109,,,,,,
0,,109,0.1371152698993683,0.8860411643981934,0.2716049253940582,0.5934938788414001,0.6565975546836853,
1,0.1926797777414322,119,,,,,,
1,0.14694805443286896,129,,,,,,
1,0.20215462148189545,139,,,,,,
1,0.32743117213249207,149,,,,,,
1,0.24936078488826752,159,,,,,,
1,0.2637920081615448,169,,,,,,
1,0.10653980821371078,179,,,,,,
1,0.10838744789361954,189,,,,,,
1,0.16998930275440216,199,,,,,,
1,0.08196903765201569,209,,,,,,
1,0.5035557150840759,219,,,,,,
1,,219,0.12410525977611542,0.8893290162086487,0.35185185074806213,0.6077979803085327,0.6800201535224915,
2,0.11058022826910019,229,,,,,,
2,0.10300596803426743,239,,,,,,
2,0.1258656084537506,249,,,,,,
2,0.15968795120716095,259,,,,,,
2,0.1425757259130478,269,,,,,,
2,0.14049293100833893,279,,,,,,
2,0.07594582438468933,289,,,,,,
2,0.08302628993988037,299,,,,,,
2,0.09890081733465195,309,,,,,,
2,0.03860922157764435,319,,,,,,
2,0.5151292681694031,329,,,,,,
2,,329,0.12096671760082245,0.8937830924987793,0.3333333432674408,0.6209492087364197,0.6783427596092224,
3,0.06620229035615921,339,,,,,,
3,0.07005387544631958,349,,,,,,
3,0.08654267340898514,359,,,,,,
3,0.1104758009314537,369,,,,,,
3,0.09182191640138626,379,,,,,,
3,0.06823568791151047,389,,,,,,
3,0.05164812505245209,399,,,,,,
3,0.05425677075982094,409,,,,,,
3,0.06513305753469467,419,,,,,,
3,0.019941730424761772,429,,,,,,
3,0.13899217545986176,439,,,,,,
3,,439,0.11746954917907715,0.9032813310623169,0.3641975224018097,0.6568241119384766,0.7040696144104004,
4,0.03406142070889473,449,,,,,,
4,0.04756113514304161,459,,,,,,
4,0.06579504907131195,469,,,,,,
4,0.05274341255426407,479,,,,,,
4,0.056039292365312576,489,,,,,,
4,0.0263845045119524,499,,,,,,
4,0.037958282977342606,509,,,,,,
4,0.03332122042775154,519,,,,,,
4,0.05045178905129433,529,,,,,,
4,0.011882568709552288,539,,,,,,
4,0.016879424452781677,549,,,,,,
4,,549,0.1292109340429306,0.8992790579795837,0.37654322385787964,0.6356052756309509,0.6952780485153198,
5,,550,,,,,,0.1292109340429306
